Fluxo;Ano;Mês;Países;UF do Produto;Valor US$ FOB;Quilograma Líquido;Produto_Estrategico;Periodo_Guerra
0;2025;ABRIL;RUSSIA;SAO PAULO;0.232218633961371;0.3696135161046436;1;1
0;2025;DEZEMBRO;RUSSIA;SANTA CATARINA;0.23001737988514281;-0.03759106342671873;1;1
0;2025;OUTUBRO;RUSSIA;SAO PAULO;0.22579506676297495;0.19328360970018538;1;1
0;2025;NOVEMBRO;RUSSIA;MINAS GERAIS;0.22545238068883688;0.25331890869560864;1;1
0;2025;FEVEREIRO;RUSSIA;MATO GROSSO;0.19836422971543377;0.38860732880548954;1;1
0;2025;NOVEMBRO;RUSSIA;SANTA CATARINA;0.19421220667803796;-0.09926152552029481;1;1
0;2025;AGOSTO;RUSSIA;MATO GROSSO;0.18714428448806567;0.1489402493069511;1;1
0;2025;NOVEMBRO;RUSSIA;MATO GROSSO;0.18383206144105121;0.1488947532807898;1;1
0;2025;SETEMBRO;RUSSIA;PARANA;0.17753680432258823;0.3621996393256969;1;1
0;2025;SETEMBRO;RUSSIA;PARANA;0.16965099301654005;0.12794263596966113;1;1
0;2025;JANEIRO;RUSSIA;GOIAS;0.16771722689383348;0.373848178465992;1;1
0;2025;ABRIL;RUSSIA;PARANA;0.16769829589843352;-0.02446905167072044;1;1
0;2025;DEZEMBRO;RUSSIA;BAHIA;0.16364162898601528;0.22372374367767783;1;1
0;2025;MARCO;RUSSIA;SERGIPE;0.1441947639614109;0.25308388580257013;1;1
0;2025;SETEMBRO;RUSSIA;CEARA;0.13805235710210312;-0.09023798736312255;1;1
0;2025;OUTUBRO;RUSSIA;TOCANTINS;0.13761028330211525;-0.09055801598925196;1;1
0;2025;MAIO;RUSSIA;MATO GROSSO;0.13549719858409243;0.15033206852833322;1;1
0;2025;OUTUBRO;RUSSIA;MATO GROSSO;0.13095148095717532;-0.030694823671741527;1;1
0;2025;OUTUBRO;RUSSIA;SAO PAULO;0.12813654711339859;0.13017876565548941;1;1
0;2025;MAIO;RUSSIA;SANTA CATARINA;0.12459943085251246;-0.14329748842097867;1;1
0;2025;ABRIL;RUSSIA;SANTA CATARINA;0.12278854091291115;-0.024255399937339245;1;1
0;2025;MARCO;RUSSIA;PERNAMBUCO;0.11414952139173698;0.25975258556354847;1;1
0;2025;JANEIRO;RUSSIA;PARANA;0.10878538878776069;0.009051223141084894;1;1
0;2025;MAIO;RUSSIA;ESPIRITO SANTO;0.10813717748230665;0.13915986080930856;1;1
0;2025;JUNHO;RUSSIA;PARANA;0.10481916996447554;0.4391695769326284;1;1
0;2025;OUTUBRO;RUSSIA;GOIAS;0.10373256588591699;-0.0749674257716565;1;1
0;2025;FEVEREIRO;RUSSIA;BAHIA;0.10087223271057925;0.20875794559830024;1;1
0;2025;ABRIL;RUSSIA;SAO PAULO;0.09825116628265762;0.14896287759364712;1;1
0;2025;JANEIRO;RUSSIA;PARA;0.09499573622184304;0.2985527340745659;1;1
0;2025;DEZEMBRO;RUSSIA;PARA;0.09463271685634946;-0.03412396691726548;1;1
0;2025;ABRIL;RUSSIA;MATO GROSSO;0.0918817627655448;0.09119262220594149;1;1
0;2025;FEVEREIRO;RUSSIA;ESPIRITO SANTO;0.08792430829198186;0.26268187115322117;1;1
0;2025;MAIO;RUSSIA;PARA;0.08736005945686652;0.2087902717221517;1;1
0;2025;ABRIL;RUSSIA;BAHIA;0.08268831048094415;0.018812036374839608;1;1
0;2025;AGOSTO;RUSSIA;ESPIRITO SANTO;0.07857642816527602;0.06614484486602572;1;1
